Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	RZ10001	The type of component 'MudCheckBox' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	116		
Error (active)	RZ10001	The type of component 'MudCheckBox' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	118		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\Audit\AuditTrailViewer.razor	150		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\Audit\AuditTrailViewer.razor	154		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\Audit\AuditTrailViewer.razor	157		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\Audit\AuditTrailViewer.razor	161		
Error (active)	RZ10001	The type of component 'MudChipSet' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	182		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	185		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\DocumentProcessingDashboard.razor	192		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	192		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	216		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	221		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	260		
Error (active)	RZ10012	Found markup element with unexpected name 'Actions'. If this is intended to be a component, add a @using directive for its namespace.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	266		
Error (active)	RZ9996	Unrecognized child content inside component 'MudExpansionPanel'. The component 'MudExpansionPanel' accepts child content through the following top-level items: 'TitleContent', 'ChildContent'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	266		
